Batter,BatterTeam,BatterSide,ExitSpeed,Angle,Direction,Bearing,Distance,HitType
Paul Toetz,Joliet Slammers,Right,76.31,-74.57,-14.14,10.63,1.14,GroundBall
Paul Toetz,Joliet Slammers,Right,75.17,34.18,5.93,15.42,256.17,FlyBall
Paul Toetz,Joliet Slammers,Right,73.96,-4.58,-28.11,-25.19,22.45,GroundBall
Paul Toetz,Joliet Slammers,Right,73.9,20.03,24.58,31.32,206.47,LineDrive
Paul Toetz,Joliet Slammers,Right,72,20.54,-18.14,-20.65,185.57,LineDrive
Paul Toetz,Joliet Slammers,Right,71.91,-21.39,-17.75,-4.89,5.75,GroundBall
Paul Toetz,Joliet Slammers,Right,70.56,18.84,1.82,24.62,182.11,FlyBall
Paul Toetz,Joliet Slammers,Right,70,-53.58,-1.46,-1.46,2.56,GroundBall
Paul Toetz,Joliet Slammers,Right,68.85,-32.42,7.45,12.22,3.59,GroundBall
Paul Toetz,Joliet Slammers,Right,68.27,8.73,10.49,13.2,94.82,GroundBall
Paul Toetz,Joliet Slammers,Right,67.27,11.79,3.17,12.34,92.65,LineDrive
Paul Toetz,Joliet Slammers,Right,65.24,-26.94,-9.25,-7.59,7.39,GroundBall
Paul Toetz,Joliet Slammers,Right,65.22,-12.24,7.86,12.21,12.37,GroundBall
Paul Toetz,Joliet Slammers,Right,63.58,-7.83,19.47,18.15,14.33,GroundBall
Paul Toetz,Joliet Slammers,Right,62.22,-39.35,17.06,14.23,3.04,GroundBall
Paul Toetz,Joliet Slammers,Right,59.74,-30.97,-19.32,-6.05,4.23,GroundBall
Paul Toetz,Joliet Slammers,Right,59.74,-30.97,-19.32,-6.05,4.23,GroundBall
Paul Toetz,Joliet Slammers,Right,56.48,-43.26,-54.39,-22.35,3.2,GroundBall
Paul Toetz,Joliet Slammers,Right,55.03,-47.71,-2.63,0,2.63,GroundBall
Paul Toetz,Joliet Slammers,Right,53.75,-0.22,-6.14,-7.33,32.52,GroundBall
Paul Toetz,Joliet Slammers,Right,,,,,,
Paul Toetz,Joliet Slammers,Right,,,,,,
Zach Weaver,Joliet Slammers,Right,111.64,22.82,-32.51,0,0,LineDrive
Zach Weaver,Joliet Slammers,Right,111.57,5.71,-19.75,-22,137.96,LineDrive
Zach Weaver,Joliet Slammers,Right,111.47,33.72,-16.61,-20.31,428.64,FlyBall
